Region,Level,Latitude,Longitude,Outcome,Prevention,OutcomePrevalence,PredictionAccuracyScore,PreventionPrevalence,PreventionRank,PreventionCalculationLevel,PreventionScore
US,US,,,COPD,Cholesterol Screening,6.5,0.901400731,77,1,National,0
US,US,,,COPD,Dental Visit,6.5,0.901400731,65.7,2,National,0
US,US,,,COPD,Current Smoking,6.5,0.901400731,16.4,3,National,0
US,US,,,COPD,Physical Inactivity,6.5,0.901400731,24.2,4,National,0
US,US,,,COPD,Health Insurance,6.5,0.901400731,11.6,5,National,0
US,US,,,Coronary Heart Disease,Taking BP Medication,6.6,0.840727351,77.2,1,National,0
US,US,,,Coronary Heart Disease,Dental Visit,6.6,0.840727351,65.7,2,National,0
US,US,,,Coronary Heart Disease,Sleep <7 hours,6.6,0.840727351,34.6,3,National,0
US,US,,,Coronary Heart Disease,Physical Inactivity,6.6,0.840727351,24.2,4,National,0
US,US,,,Coronary Heart Disease,Health Insurance,6.6,0.840727351,11.6,5,National,0
US,US,,,Current Asthma,Sleep <7 hours,8.9,0.868594269,34.6,1,National,0
US,US,,,Current Asthma,Current Smoking,8.9,0.868594269,16.4,2,National,0
US,US,,,Current Asthma,Colorectal Cancer Screening,8.9,0.868594269,65.2,3,National,0
US,US,,,Current Asthma,Core preventive services for older women,8.9,0.868594269,31.7,4,National,0
US,US,,,Current Asthma,Obesity,8.9,0.868594269,29.6,5,National,0
US,US,,,Cancer (except skin),Cholesterol Screening,6.6,0.831713566,77,1,National,0
US,US,,,Cancer (except skin),Taking BP Medication,6.6,0.831713566,77.2,2,National,0
US,US,,,Cancer (except skin),Mammography,6.6,0.831713566,75.2,3,National,0
US,US,,,Cancer (except skin),Sleep <7 hours,6.6,0.831713566,34.6,4,National,0
US,US,,,Cancer (except skin),Colorectal Cancer Screening,6.6,0.831713566,65.2,5,National,0
US,US,,,High Blood Pressure,Taking BP Medication,31.9,0.935843565,77.2,1,National,0
US,US,,,High Blood Pressure,Obesity,31.9,0.935843565,29.6,2,National,0
US,US,,,High Blood Pressure,Binge Drinking,31.9,0.935843565,16.9,3,National,0
US,US,,,High Blood Pressure,Annual Checkup,31.9,0.935843565,71.2,4,National,0
US,US,,,High Blood Pressure,Dental Visit,31.9,0.935843565,65.7,5,National,0
US,US,,,Arthritis,Taking BP Medication,25.4,0.886738565,77.2,1,National,0
US,US,,,Arthritis,Binge Drinking,25.4,0.886738565,16.9,2,National,0
US,US,,,Arthritis,Current Smoking,25.4,0.886738565,16.4,3,National,0
US,US,,,Arthritis,Sleep <7 hours,25.4,0.886738565,34.6,4,National,0
US,US,,,Arthritis,Health Insurance,25.4,0.886738565,11.6,5,National,0
Alabama,State,32.806671,-86.79113,Teeth Loss,Physical Inactivity,22.8,0.950085565,35.6,1,State,0
Alabama,State,32.806671,-86.79113,Teeth Loss,Current Smoking,22.8,0.950085565,22.3,2,State,0
Alabama,State,32.806671,-86.79113,Teeth Loss,Cholesterol Screening,22.8,0.950085565,74.8,3,State,0
Alabama,State,32.806671,-86.79113,Teeth Loss,Mammography,22.8,0.950085565,83.6,4,State,0
Alabama,State,32.806671,-86.79113,Teeth Loss,Binge Drinking,22.8,0.950085565,13.2,5,State,0
Alabama,State,32.806671,-86.79113,Stroke,Physical Inactivity,5,0.949767815,35.6,1,State,0
Alabama,State,32.806671,-86.79113,Stroke,Current Smoking,5,0.949767815,22.3,2,State,0
Alabama,State,32.806671,-86.79113,Stroke,Binge Drinking,5,0.949767815,13.2,3,State,0
Alabama,State,32.806671,-86.79113,Stroke,Cholesterol Screening,5,0.949767815,74.8,4,State,0
Alabama,State,32.806671,-86.79113,Stroke,Sleep <7 hours,5,0.949767815,41.5,5,State,0
Alabama,State,32.806671,-86.79113,Physical Health,Physical Inactivity,16.3,0.977897451,35.6,1,State,0
Alabama,State,32.806671,-86.79113,Physical Health,Taking BP Medication,16.3,0.977897451,81.3,2,State,0
Alabama,State,32.806671,-86.79113,Physical Health,Colorectal Cancer Screening,16.3,0.977897451,64.1,3,State,0
Alabama,State,32.806671,-86.79113,Physical Health,Current Smoking,16.3,0.977897451,22.3,4,State,0
Alabama,State,32.806671,-86.79113,Physical Health,Obesity,16.3,0.977897451,41.7,5,State,0
Alabama,State,32.806671,-86.79113,Mental Health,Current Smoking,15.2,0.973986577,22.3,1,State,0
Alabama,State,32.806671,-86.79113,Mental Health,Taking BP Medication,15.2,0.973986577,81.3,2,State,0
Alabama,State,32.806671,-86.79113,Mental Health,Cholesterol Screening,15.2,0.973986577,74.8,3,State,0
Alabama,State,32.806671,-86.79113,Mental Health,Dental Visit,15.2,0.973986577,52.6,4,State,0
Alabama,State,32.806671,-86.79113,Mental Health,Health Insurance,15.2,0.973986577,19.2,5,State,0
Alabama,State,32.806671,-86.79113,Chronic Kidney Disease,Physical Inactivity,3.8,0.968618077,35.6,1,State,0
Alabama,State,32.806671,-86.79113,Chronic Kidney Disease,Current Smoking,3.8,0.968618077,22.3,2,State,0
Alabama,State,32.806671,-86.79113,Chronic Kidney Disease,Sleep <7 hours,3.8,0.968618077,41.5,3,State,0
Alabama,State,32.806671,-86.79113,Chronic Kidney Disease,Cholesterol Screening,3.8,0.968618077,74.8,4,State,0
Alabama,State,32.806671,-86.79113,Chronic Kidney Disease,Binge Drinking,3.8,0.968618077,13.2,5,State,0
Alabama,State,32.806671,-86.79113,High Cholesterol,Taking BP Medication,39.2,0.978108043,81.3,1,State,0
Alabama,State,32.806671,-86.79113,High Cholesterol,Binge Drinking,39.2,0.978108043,13.2,2,State,0
Alabama,State,32.806671,-86.79113,High Cholesterol,Cholesterol Screening,39.2,0.978108043,74.8,3,State,0
Alabama,State,32.806671,-86.79113,High Cholesterol,Current Smoking,39.2,0.978108043,22.3,4,State,0
Alabama,State,32.806671,-86.79113,High Cholesterol,Sleep <7 hours,39.2,0.978108043,41.5,5,State,0
Alabama,State,32.806671,-86.79113,Diabetes,Cholesterol Screening,16.7,0.967628684,74.8,1,State,0
Alabama,State,32.806671,-86.79113,Diabetes,Dental Visit,16.7,0.967628684,52.6,2,State,0
Alabama,State,32.806671,-86.79113,Diabetes,Physical Inactivity,16.7,0.967628684,35.6,3,State,0
Alabama,State,32.806671,-86.79113,Diabetes,Current Smoking,16.7,0.967628684,22.3,4,State,0
Alabama,State,32.806671,-86.79113,Diabetes,Taking BP Medication,16.7,0.967628684,81.3,5,State,0
Alabama,State,32.806671,-86.79113,COPD,Current Smoking,8.8,0.95789516,22.3,1,State,0
Alabama,State,32.806671,-86.79113,COPD,Sleep <7 hours,8.8,0.95789516,41.5,2,State,0
Alabama,State,32.806671,-86.79113,COPD,Taking BP Medication,8.8,0.95789516,81.3,3,State,0
Alabama,State,32.806671,-86.79113,COPD,Binge Drinking,8.8,0.95789516,13.2,4,State,0
Alabama,State,32.806671,-86.79113,COPD,Physical Inactivity,8.8,0.95789516,35.6,5,State,0
Alabama,State,32.806671,-86.79113,Coronary Heart Disease,Physical Inactivity,7.5,0.927109246,35.6,1,State,0
Alabama,State,32.806671,-86.79113,Coronary Heart Disease,Sleep <7 hours,7.5,0.927109246,41.5,2,State,0
Alabama,State,32.806671,-86.79113,Coronary Heart Disease,Taking BP Medication,7.5,0.927109246,81.3,3,State,0
Alabama,State,32.806671,-86.79113,Coronary Heart Disease,Binge Drinking,7.5,0.927109246,13.2,4,State,0
Alabama,State,32.806671,-86.79113,Coronary Heart Disease,Cholesterol Screening,7.5,0.927109246,74.8,5,State,0
Alabama,State,32.806671,-86.79113,Current Asthma,Current Smoking,10.5,0.984325111,22.3,1,State,0
Alabama,State,32.806671,-86.79113,Current Asthma,Annual Checkup,10.5,0.984325111,76.9,2,State,0
Alabama,State,32.806671,-86.79113,Current Asthma,Cholesterol Screening,10.5,0.984325111,74.8,3,State,0
Alabama,State,32.806671,-86.79113,Current Asthma,Sleep <7 hours,10.5,0.984325111,41.5,4,State,0
Alabama,State,32.806671,-86.79113,Current Asthma,Dental Visit,10.5,0.984325111,52.6,5,State,0
Alabama,State,32.806671,-86.79113,Cancer (except skin),Taking BP Medication,5.6,0.946128663,81.3,1,State,0
Alabama,State,32.806671,-86.79113,Cancer (except skin),Sleep <7 hours,5.6,0.946128663,41.5,2,State,0
Alabama,State,33.749,-84.388,Cancer (except skin),Binge Drinking,5.6,0.946128663,13.2,3,State,0
Alabama,State,33.749,-84.388,Cancer (except skin),Dental Visit,5.6,0.946128663,52.6,4,State,0
Alabama,State,33.749,-84.388,Cancer (except skin),Physical Inactivity,5.6,0.946128663,35.6,5,State,0
Alabama,State,33.749,-84.388,High Blood Pressure,Annual Checkup,43.8,0.980961293,76.9,1,State,0
Alabama,State,33.749,-84.388,High Blood Pressure,Binge Drinking,43.8,0.980961293,13.2,2,State,0
Alabama,State,33.749,-84.388,High Blood Pressure,Physical Inactivity,43.8,0.980961293,35.6,3,State,0
Alabama,State,33.749,-84.388,High Blood Pressure,Cholesterol Screening,43.8,0.980961293,74.8,4,State,0
Alabama,State,33.749,-84.388,High Blood Pressure,Taking BP Medication,43.8,0.980961293,81.3,5,State,0
Alabama,State,33.749,-84.388,Arthritis,Taking BP Medication,29.3,0.94488879,81.3,1,State,0
Alabama,State,33.749,-84.388,Arthritis,Binge Drinking,29.3,0.94488879,13.2,2,State,0
Alabama,State,33.749,-84.388,Arthritis,Cholesterol Screening,29.3,0.94488879,74.8,3,State,0
Alabama,State,33.749,-84.388,Arthritis,Current Smoking,29.3,0.94488879,22.3,4,State,0
Alabama,State,33.749,-84.388,Arthritis,Sleep <7 hours,29.3,0.94488879,41.5,5,State,0
Alaska,State,33.749,-84.388,Arthritis,Taking BP Medication,19.8,0.886738565,63.7,1,National,0
Alaska,State,33.749,-84.388,Arthritis,Binge Drinking,19.8,0.886738565,19.4,2,National,0
Alaska,State,33.749,-84.388,Arthritis,Current Smoking,19.8,0.886738565,18,3,National,0
Alaska,State,33.749,-84.388,Arthritis,Sleep <7 hours,19.8,0.886738565,31.3,4,National,0
Alaska,State,33.749,-84.388,Arthritis,Health Insurance,19.8,0.886738565,12.5,5,National,0
Alaska,State,33.749,-84.388,High Blood Pressure,Taking BP Medication,26.8,0.935843565,63.7,1,National,0
Alaska,State,33.749,-84.388,High Blood Pressure,Obesity,26.8,0.935843565,27.6,2,National,0
Alaska,State,33.749,-84.388,High Blood Pressure,Binge Drinking,26.8,0.935843565,19.4,3,National,0
Alaska,State,33.749,-84.388,High Blood Pressure,Annual Checkup,26.8,0.935843565,56.9,4,National,0
Alaska,State,33.749,-84.388,High Blood Pressure,Dental Visit,26.8,0.935843565,65.2,5,National,0
Alaska,State,33.749,-84.388,Cancer (except skin),Cholesterol Screening,5.1,0.831713566,68.8,1,National,0
Alaska,State,33.749,-84.388,Cancer (except skin),Taking BP Medication,5.1,0.831713566,63.7,2,National,0
Alaska,State,33.749,-84.388,Cancer (except skin),Mammography,5.1,0.831713566,71.3,3,National,0
Alaska,State,33.749,-84.388,Cancer (except skin),Sleep <7 hours,5.1,0.831713566,31.3,4,National,0
Alaska,State,33.749,-84.388,Cancer (except skin),Colorectal Cancer Screening,5.1,0.831713566,62.2,5,National,0
Alaska,State,33.749,-84.388,Current Asthma,Sleep <7 hours,9.3,0.868594269,31.3,1,National,0
Alaska,State,33.749,-84.388,Current Asthma,Current Smoking,9.3,0.868594269,18,2,National,0
Alaska,State,33.749,-84.388,Current Asthma,Colorectal Cancer Screening,9.3,0.868594269,62.2,3,National,0
Alaska,State,33.749,-84.388,Current Asthma,Core preventive services for older women,9.3,0.868594269,33.3,4,National,0
Alaska,State,33.749,-84.388,Current Asthma,Obesity,9.3,0.868594269,27.6,5,National,0
Alaska,State,33.749,-84.388,Coronary Heart Disease,Taking BP Medication,4.5,0.840727351,63.7,1,National,0
Alaska,State,33.749,-84.388,Coronary Heart Disease,Dental Visit,4.5,0.840727351,65.2,2,National,0
Alaska,State,33.749,-84.388,Coronary Heart Disease,Sleep <7 hours,4.5,0.840727351,31.3,3,National,0
Alaska,State,33.749,-84.388,Coronary Heart Disease,Physical Inactivity,4.5,0.840727351,17.5,4,National,0
Alaska,State,33.749,-84.388,Coronary Heart Disease,Health Insurance,4.5,0.840727351,12.5,5,National,0
Alaska,State,33.749,-84.388,COPD,Cholesterol Screening,5,0.901400731,68.8,1,National,0
Alaska,State,32.0809,-81.0912,COPD,Dental Visit,5,0.901400731,65.2,2,National,0
Alaska,State,32.0809,-81.0912,COPD,Current Smoking,5,0.901400731,18,3,National,0
Alaska,State,32.0809,-81.0912,COPD,Physical Inactivity,5,0.901400731,17.5,4,National,0
Alaska,State,32.0809,-81.0912,COPD,Health Insurance,5,0.901400731,12.5,5,National,0
Alaska,State,32.0809,-81.0912,Diabetes,Taking BP Medication,7.6,0.934231335,63.7,1,National,0
Alaska,State,32.0809,-81.0912,Diabetes,Dental Visit,7.6,0.934231335,65.2,2,National,0
Alaska,State,32.0809,-81.0912,Diabetes,Cholesterol Screening,7.6,0.934231335,68.8,3,National,0
Alaska,State,32.0809,-81.0912,Diabetes,Physical Inactivity,7.6,0.934231335,17.5,4,National,0
Alaska,State,32.0809,-81.0912,Diabetes,Current Smoking,7.6,0.934231335,18,5,National,0
Alaska,State,32.0809,-81.0912,High Cholesterol,Taking BP Medication,34.8,0.930340498,63.7,1,National,0
Alaska,State,32.0809,-81.0912,High Cholesterol,Annual Checkup,34.8,0.930340498,56.9,2,National,0
Alaska,State,32.0809,-81.0912,High Cholesterol,Physical Inactivity,34.8,0.930340498,17.5,3,National,0
Alaska,State,32.0809,-81.0912,High Cholesterol,Cholesterol Screening,34.8,0.930340498,68.8,4,National,0
Alaska,State,32.0809,-81.0912,High Cholesterol,Health Insurance,34.8,0.930340498,12.5,5,National,0
Alaska,State,32.0809,-81.0912,Chronic Kidney Disease,Taking BP Medication,2.2,0.885832629,63.7,1,National,0
Alaska,State,32.0809,-81.0912,Chronic Kidney Disease,Dental Visit,2.2,0.885832629,65.2,2,National,0
Alaska,State,32.0809,-81.0912,Chronic Kidney Disease,Cholesterol Screening,2.2,0.885832629,68.8,3,National,0
Alaska,State,32.0809,-81.0912,Chronic Kidney Disease,Physical Inactivity,2.2,0.885832629,17.5,4,National,0
Alaska,State,32.0809,-81.0912,Chronic Kidney Disease,Annual Checkup,2.2,0.885832629,56.9,5,National,0
Alaska,State,32.0809,-81.0912,Mental Health,Current Smoking,11.4,0.87986488,18,1,National,0
Alaska,State,32.0809,-81.0912,Mental Health,Mammography,11.4,0.87986488,71.3,2,National,0
Alaska,State,32.0809,-81.0912,Mental Health,Annual Checkup,11.4,0.87986488,56.9,3,National,0
Alaska,State,32.0809,-81.0912,Mental Health,Physical Inactivity,11.4,0.87986488,17.5,4,National,0
Alaska,State,32.0809,-81.0912,Mental Health,Cholesterol Screening,11.4,0.87986488,68.8,5,National,0
Alaska,State,32.0809,-81.0912,Physical Health,Physical Inactivity,10.6,0.92794472,17.5,1,National,0
Alaska,State,32.0809,-81.0912,Physical Health,Cholesterol Screening,10.6,0.92794472,68.8,2,National,0
Alaska,State,32.0809,-81.0912,Physical Health,Dental Visit,10.6,0.92794472,65.2,3,National,0
Alaska,State,32.0809,-81.0912,Physical Health,Current Smoking,10.6,0.92794472,18,4,National,0
Alaska,State,32.0809,-81.0912,Physical Health,Annual Checkup,10.6,0.92794472,56.9,5,National,0
Alaska,State,32.0809,-81.0912,Stroke,Taking BP Medication,2.3,0.867507992,63.7,1,National,0
Alaska,State,32.0809,-81.0912,Stroke,Dental Visit,2.3,0.867507992,65.2,2,National,0
Alaska,State,32.0809,-81.0912,Stroke,Cholesterol Screening,2.3,0.867507992,68.8,3,National,0
Alaska,State,32.0809,-81.0912,Stroke,Obesity,2.3,0.867507992,27.6,4,National,0
Alaska,State,32.0809,-81.0912,Stroke,Health Insurance,2.3,0.867507992,12.5,5,National,0
Alaska,State,32.0809,-81.0912,Teeth Loss,Current Smoking,12.9,0.907248555,18,1,National,0
Alaska,State,32.0809,-81.0912,Teeth Loss,Dental Visit,12.9,0.907248555,65.2,2,National,0
Alaska,State,32.0809,-81.0912,Teeth Loss,Physical Inactivity,12.9,0.907248555,17.5,3,National,0
Alaska,State,32.0809,-81.0912,Teeth Loss,Mammography,12.9,0.907248555,71.3,4,National,0
Alaska,State,32.0809,-81.0912,Teeth Loss,Sleep <7 hours,12.9,0.907248555,31.3,5,National,0
Arizona,State,33.749,-84.388,Teeth Loss,Physical Inactivity,14.7,0.949461899,24.7,1,State,0
Arizona,State,33.749,-84.388,Teeth Loss,Dental Visit,14.7,0.949461899,59.9,2,State,0
Arizona,State,33.749,-84.388,Teeth Loss,Mammography,14.7,0.949461899,79.8,3,State,0
Arizona,State,33.749,-84.388,Teeth Loss,Core preventive services for older men,14.7,0.949461899,30.4,4,State,0
Arizona,State,33.749,-84.388,Teeth Loss,Colorectal Cancer Screening,14.7,0.949461899,58,5,State,0
Arizona,State,33.749,-84.388,Stroke,Physical Inactivity,2.4,0.984050044,24.7,1,State,0
Arizona,State,33.749,-84.388,Stroke,Health Insurance,2.4,0.984050044,19.3,2,State,0
Arizona,State,33.749,-84.388,Stroke,Sleep <7 hours,2.4,0.984050044,38.1,3,State,0
Arizona,State,33.749,-84.388,Stroke,Annual Checkup,2.4,0.984050044,63.2,4,State,0
Arizona,State,33.749,-84.388,Stroke,Dental Visit,2.4,0.984050044,59.9,5,State,0
Arizona,State,33.749,-84.388,Physical Health,Physical Inactivity,12.4,0.996190793,24.7,1,State,0
Arizona,State,33.749,-84.388,Physical Health,Health Insurance,12.4,0.996190793,19.3,2,State,0
Arizona,State,33.749,-84.388,Physical Health,Annual Checkup,12.4,0.996190793,63.2,3,State,0
Arizona,State,33.749,-84.388,Physical Health,Dental Visit,12.4,0.996190793,59.9,4,State,0
Arizona,State,33.749,-84.388,Physical Health,Obesity,12.4,0.996190793,29.9,5,State,0
Arizona,State,33.749,-84.388,Mental Health,Current Smoking,13.6,0.990406295,18,1,State,0
Arizona,State,33.749,-84.388,Mental Health,Cholesterol Screening,13.6,0.990406295,68.7,2,State,0
Arizona,State,33.749,-84.388,Mental Health,Dental Visit,13.6,0.990406295,59.9,3,State,0
Arizona,State,33.749,-84.388,Mental Health,Physical Inactivity,13.6,0.990406295,24.7,4,State,0
Arizona,State,33.749,-84.388,Mental Health,Obesity,13.6,0.990406295,29.9,5,State,0
Arizona,State,33.749,-84.388,Chronic Kidney Disease,Physical Inactivity,2.7,0.990932023,24.7,1,State,0
Arizona,State,33.749,-84.388,Chronic Kidney Disease,Health Insurance,2.7,0.990932023,19.3,2,State,0
Arizona,State,33.749,-84.388,Chronic Kidney Disease,Sleep <7 hours,2.7,0.990932023,38.1,3,State,0
Arizona,State,33.749,-84.388,Chronic Kidney Disease,Annual Checkup,2.7,0.990932023,63.2,4,State,0
Arizona,State,33.749,-84.388,Chronic Kidney Disease,Dental Visit,2.7,0.990932023,59.9,5,State,0
Arizona,State,33.749,-84.388,High Cholesterol,Taking BP Medication,32.7,0.986203853,65.9,1,State,0
Arizona,State,33.749,-84.388,High Cholesterol,Binge Drinking,32.7,0.986203853,17.7,2,State,0
Arizona,State,33.749,-84.388,High Cholesterol,Physical Inactivity,32.7,0.986203853,24.7,3,State,0
Arizona,State,33.749,-84.388,High Cholesterol,Cholesterol Screening,32.7,0.986203853,68.7,4,State,0
Arizona,State,33.749,-84.388,High Cholesterol,Annual Checkup,32.7,0.986203853,63.2,5,State,0
Arizona,State,33.749,-84.388,Diabetes,Taking BP Medication,8.9,0.985642242,65.9,1,State,0
Arizona,State,33.749,-84.388,Diabetes,Dental Visit,8.9,0.985642242,59.9,2,State,0
Arizona,State,33.749,-84.388,Diabetes,Cholesterol Screening,8.9,0.985642242,68.7,3,State,0
Arizona,State,33.749,-84.388,Diabetes,Annual Checkup,8.9,0.985642242,63.2,4,State,0
Arizona,State,33.749,-84.388,Diabetes,Current Smoking,8.9,0.985642242,18,5,State,0
Arizona,State,33.749,-84.388,COPD,Physical Inactivity,5.1,0.983016608,24.7,1,State,0
Arizona,State,33.749,-84.388,COPD,Health Insurance,5.1,0.983016608,19.3,2,State,0
Arizona,State,33.749,-84.388,COPD,Sleep <7 hours,5.1,0.983016608,38.1,3,State,0
Arizona,State,33.749,-84.388,COPD,Current Smoking,5.1,0.983016608,18,4,State,0
Arizona,State,32.0809,-81.0912,COPD,Cholesterol Screening,5.1,0.983016608,68.7,5,State,0
Arizona,State,32.0809,-81.0912,Coronary Heart Disease,Physical Inactivity,4.4,0.986361977,24.7,1,State,0
Arizona,State,32.0809,-81.0912,Coronary Heart Disease,Health Insurance,4.4,0.986361977,19.3,2,State,0
Arizona,State,32.0809,-81.0912,Coronary Heart Disease,Sleep <7 hours,4.4,0.986361977,38.1,3,State,0
Arizona,State,32.0809,-81.0912,Coronary Heart Disease,Annual Checkup,4.4,0.986361977,63.2,4,State,0
Arizona,State,32.0809,-81.0912,Coronary Heart Disease,Dental Visit,4.4,0.986361977,59.9,5,State,0
Arizona,State,32.0809,-81.0912,Current Asthma,Current Smoking,10,0.984483265,18,1,State,0
Arizona,State,32.0809,-81.0912,Current Asthma,Annual Checkup,10,0.984483265,63.2,2,State,0
Arizona,State,32.0809,-81.0912,Current Asthma,Cholesterol Screening,10,0.984483265,68.7,3,State,0
Arizona,State,32.0809,-81.0912,Current Asthma,Dental Visit,10,0.984483265,59.9,4,State,0
Arizona,State,32.0809,-81.0912,Current Asthma,Physical Inactivity,10,0.984483265,24.7,5,State,0
Arizona,State,32.0809,-81.0912,Cancer (except skin),Annual Checkup,4.1,0.979246119,63.2,1,State,0
Arizona,State,32.0809,-81.0912,Cancer (except skin),Dental Visit,4.1,0.979246119,59.9,2,State,0
Arizona,State,32.0809,-81.0912,Cancer (except skin),Obesity,4.1,0.979246119,29.9,3,State,0
Arizona,State,32.0809,-81.0912,Cancer (except skin),Cholesterol Screening,4.1,0.979246119,68.7,4,State,0
Arizona,State,32.0809,-81.0912,Cancer (except skin),Sleep <7 hours,4.1,0.979246119,38.1,5,State,0
Arizona,State,32.0809,-81.0912,High Blood Pressure,Cholesterol Screening,24.8,0.973769578,68.7,1,State,0
Arizona,State,32.0809,-81.0912,High Blood Pressure,Dental Visit,24.8,0.973769578,59.9,2,State,0
Arizona,State,32.0809,-81.0912,High Blood Pressure,Annual Checkup,24.8,0.973769578,63.2,3,State,0
Arizona,State,32.0809,-81.0912,High Blood Pressure,Physical Inactivity,24.8,0.973769578,24.7,4,State,0
Arizona,State,32.0809,-81.0912,High Blood Pressure,Health Insurance,24.8,0.973769578,19.3,5,State,0
Arizona,State,32.0809,-81.0912,Arthritis,Cholesterol Screening,22.5,0.985030763,68.7,1,State,0
Arizona,State,32.0809,-81.0912,Arthritis,Dental Visit,22.5,0.985030763,59.9,2,State,0
Arizona,State,32.0809,-81.0912,Arthritis,Annual Checkup,22.5,0.985030763,63.2,3,State,0
Arizona,State,32.0809,-81.0912,Arthritis,Obesity,22.5,0.985030763,29.9,4,State,0
Arizona,State,32.0809,-81.0912,Arthritis,Taking BP Medication,22.5,0.985030763,65.9,5,State,0
Arkansas,State,32.0809,-81.0912,Teeth Loss,Physical Inactivity,15.6,0.937795754,24.6,1,State,0
Arkansas,State,32.0809,-81.0912,Teeth Loss,Dental Visit,15.6,0.937795754,59.5,2,State,0
Arkansas,State,32.0809,-81.0912,Teeth Loss,Current Smoking,15.6,0.937795754,20.5,3,State,0
Arkansas,State,32.0809,-81.0912,Teeth Loss,Sleep <7 hours,15.6,0.937795754,34.2,4,State,0
Arkansas,State,32.0809,-81.0912,Teeth Loss,Cholesterol Screening,15.6,0.937795754,64.2,5,State,0
Arkansas,State,32.0809,-81.0912,Stroke,Physical Inactivity,2.1,0.968305781,24.6,1,State,0
Arkansas,State,32.0809,-81.0912,Stroke,Current Smoking,2.1,0.968305781,20.5,2,State,0
Arkansas,State,32.0809,-81.0912,Stroke,Health Insurance,2.1,0.968305781,10.6,3,State,0
Arkansas,State,32.0809,-81.0912,Stroke,Dental Visit,2.1,0.968305781,59.5,4,State,0
Arkansas,State,32.0809,-81.0912,Stroke,Taking BP Medication,2.1,0.968305781,68.8,5,State,0
Arkansas,State,32.0809,-81.0912,Physical Health,Physical Inactivity,10.8,0.993535361,24.6,1,State,0
Arkansas,State,32.0809,-81.0912,Physical Health,Sleep <7 hours,10.8,0.993535361,34.2,2,State,0
Arkansas,State,34.969704,-92.373123,Physical Health,Taking BP Medication,10.8,0.993535361,68.8,3,State,0
Arkansas,State,34.969704,-92.373123,Physical Health,Dental Visit,10.8,0.993535361,59.5,4,State,0
Arkansas,State,34.969704,-92.373123,Physical Health,Current Smoking,10.8,0.993535361,20.5,5,State,0
Arkansas,State,34.969704,-92.373123,Mental Health,Current Smoking,14.8,0.98372406,20.5,1,State,0
