Region,Level,OutcomeShort,PreventionShort,OutcomePrevalence,PredictionAccuracyScore,PreventionPrevalence,PreventionRank,PreventionCalculationLevel,Latitude,Longitude,Outcome,Prevention
US,US,HIGHCHOL,BINGE,37.1,0.978006931,16.9,2,National,,,High Cholesterol,Binge Drinking
US,US,HIGHCHOL,CHOLSCREEN,37.1,0.978006931,77,3,National,,,High Cholesterol,Cholesterol Screening
US,US,HIGHCHOL,CSMOKING,37.1,0.978006931,16.4,4,National,,,High Cholesterol,Current Smoking
US,US,HIGHCHOL,SLEEP,37.1,0.978006931,34.6,5,National,,,High Cholesterol,Sleep <7 hours
US,US,DIABETES,CHOLSCREEN,10.8,0.966452298,77,1,National,,,Diabetes,Cholesterol Screening
US,US,DIABETES,DENTAL,10.8,0.966452298,65.7,2,National,,,Diabetes,Dental Visit
US,US,DIABETES,LPA,10.8,0.966452298,24.2,3,National,,,Diabetes,Physical Inactivity
US,US,DIABETES,CSMOKING,10.8,0.966452298,16.4,4,National,,,Diabetes,Current Smoking
US,US,DIABETES,BPMED,10.8,0.966452298,77.2,5,National,,,Diabetes,Taking BP Medication
US,US,COPD,CSMOKING,6.5,0.957688064,16.4,1,National,,,COPD,Current Smoking
US,US,COPD,SLEEP,6.5,0.957688064,34.6,2,National,,,COPD,Sleep <7 hours
US,US,COPD,BPMED,6.5,0.957688064,77.2,3,National,,,COPD,Taking BP Medication
US,US,COPD,BINGE,6.5,0.957688064,16.9,4,National,,,COPD,Binge Drinking
US,US,COPD,LPA,6.5,0.957688064,24.2,5,National,,,COPD,Physical Inactivity
US,US,CHD,LPA,6.6,0.925981649,24.2,1,National,,,Coronary Heart Disease,Physical Inactivity
US,US,CHD,SLEEP,6.6,0.925981649,34.6,2,National,,,Coronary Heart Disease,Sleep <7 hours
US,US,CHD,BPMED,6.6,0.925981649,77.2,3,National,,,Coronary Heart Disease,Taking BP Medication
US,US,CHD,BINGE,6.6,0.925981649,16.9,4,National,,,Coronary Heart Disease,Binge Drinking
US,US,CHD,CHOLSCREEN,6.6,0.925981649,77,5,National,,,Coronary Heart Disease,Cholesterol Screening
US,US,CASTHMA,CSMOKING,8.9,0.984219537,16.4,1,National,,,Current Asthma,Current Smoking
US,US,CASTHMA,CHECKUP,8.9,0.984219537,71.2,2,National,,,Current Asthma,Annual Checkup
US,US,CASTHMA,CHOLSCREEN,8.9,0.984219537,77,3,National,,,Current Asthma,Cholesterol Screening
US,US,CASTHMA,SLEEP,8.9,0.984219537,34.6,4,National,,,Current Asthma,Sleep <7 hours
US,US,CASTHMA,DENTAL,8.9,0.984219537,65.7,5,National,,,Current Asthma,Dental Visit
US,US,CANCER,BPMED,6.6,0.946091937,77.2,1,National,,,Cancer (except skin),Taking BP Medication
US,US,CANCER,SLEEP,6.6,0.946091937,34.6,2,National,,,Cancer (except skin),Sleep <7 hours
US,US,CANCER,BINGE,6.6,0.946091937,16.9,3,National,,,Cancer (except skin),Binge Drinking
US,US,CANCER,DENTAL,6.6,0.946091937,65.7,4,National,,,Cancer (except skin),Dental Visit
US,US,CANCER,LPA,6.6,0.946091937,24.2,5,National,,,Cancer (except skin),Physical Inactivity
US,US,BPHIGH,CHECKUP,31.9,0.980782138,71.2,1,National,,,High Blood Pressure,Annual Checkup
US,US,BPHIGH,BINGE,31.9,0.980782138,16.9,2,National,,,High Blood Pressure,Binge Drinking
US,US,BPHIGH,BPMED,31.9,0.980782138,77.2,3,National,,,High Blood Pressure,Taking BP Medication
US,US,BPHIGH,OBESITY,31.9,0.980782138,29.6,4,National,,,High Blood Pressure,Obesity
US,US,BPHIGH,CHOLSCREEN,31.9,0.980782138,77,5,National,,,High Blood Pressure,Cholesterol Screening
US,US,ARTHRITIS,BPMED,25.4,0.944676149,77.2,1,National,,,Arthritis,Taking BP Medication
US,US,ARTHRITIS,BINGE,25.4,0.944676149,16.9,2,National,,,Arthritis,Binge Drinking
US,US,ARTHRITIS,CHOLSCREEN,25.4,0.944676149,77,3,National,,,Arthritis,Cholesterol Screening
US,US,ARTHRITIS,CSMOKING,25.4,0.944676149,16.4,4,National,,,Arthritis,Current Smoking
US,US,ARTHRITIS,SLEEP,25.4,0.944676149,34.6,5,National,,,Arthritis,Sleep <7 hours
Birmingham,City,ARTHRITIS,BPMED,29.3,0.944676149,81.3,1,National,33.52756638,-86.79881747,Arthritis,Taking BP Medication
Birmingham,City,ARTHRITIS,BINGE,29.3,0.944676149,13.2,2,National,33.52756638,-86.79881747,Arthritis,Binge Drinking
Birmingham,City,ARTHRITIS,CHOLSCREEN,29.3,0.944676149,74.8,3,National,33.52756638,-86.79881747,Arthritis,Cholesterol Screening
Birmingham,City,ARTHRITIS,CSMOKING,29.3,0.944676149,22.3,4,National,33.52756638,-86.79881747,Arthritis,Current Smoking
Birmingham,City,ARTHRITIS,SLEEP,29.3,0.944676149,41.5,5,National,33.52756638,-86.79881747,Arthritis,Sleep <7 hours
Birmingham,City,BPHIGH,CHECKUP,43.8,0.980782138,76.9,1,National,33.52756638,-86.79881747,High Blood Pressure,Annual Checkup
Birmingham,City,BPHIGH,BINGE,43.8,0.980782138,13.2,2,National,33.52756638,-86.79881747,High Blood Pressure,Binge Drinking
Birmingham,City,BPHIGH,BPMED,43.8,0.980782138,81.3,3,National,33.52756638,-86.79881747,High Blood Pressure,Taking BP Medication
Birmingham,City,BPHIGH,OBESITY,43.8,0.980782138,41.7,4,National,33.52756638,-86.79881747,High Blood Pressure,Obesity
Birmingham,City,BPHIGH,CHOLSCREEN,43.8,0.980782138,74.8,5,National,33.52756638,-86.79881747,High Blood Pressure,Cholesterol Screening
Birmingham,City,CANCER,BPMED,5.6,0.946091937,81.3,1,National,33.52756638,-86.79881747,Cancer (except skin),Taking BP Medication
Birmingham,City,CANCER,SLEEP,5.6,0.946091937,41.5,2,National,33.52756638,-86.79881747,Cancer (except skin),Sleep <7 hours
Birmingham,City,CANCER,BINGE,5.6,0.946091937,13.2,3,National,33.52756638,-86.79881747,Cancer (except skin),Binge Drinking
Birmingham,City,CANCER,DENTAL,5.6,0.946091937,52.6,4,National,33.52756638,-86.79881747,Cancer (except skin),Dental Visit
Birmingham,City,CANCER,LPA,5.6,0.946091937,35.6,5,National,33.52756638,-86.79881747,Cancer (except skin),Physical Inactivity
Birmingham,City,CASTHMA,CSMOKING,10.5,0.984219537,22.3,1,National,33.52756638,-86.79881747,Current Asthma,Current Smoking
Birmingham,City,CASTHMA,CHECKUP,10.5,0.984219537,76.9,2,National,33.52756638,-86.79881747,Current Asthma,Annual Checkup
Birmingham,City,CASTHMA,CHOLSCREEN,10.5,0.984219537,74.8,3,National,33.52756638,-86.79881747,Current Asthma,Cholesterol Screening
Birmingham,City,CASTHMA,SLEEP,10.5,0.984219537,41.5,4,National,33.52756638,-86.79881747,Current Asthma,Sleep <7 hours
Birmingham,City,CASTHMA,DENTAL,10.5,0.984219537,52.6,5,National,33.52756638,-86.79881747,Current Asthma,Dental Visit
Birmingham,City,CHD,LPA,7.5,0.925981649,35.6,1,National,33.52756638,-86.79881747,Coronary Heart Disease,Physical Inactivity
Birmingham,City,CHD,SLEEP,7.5,0.925981649,41.5,2,National,33.52756638,-86.79881747,Coronary Heart Disease,Sleep <7 hours
Birmingham,City,CHD,BPMED,7.5,0.925981649,81.3,3,National,33.52756638,-86.79881747,Coronary Heart Disease,Taking BP Medication
Birmingham,City,CHD,BINGE,7.5,0.925981649,13.2,4,National,33.52756638,-86.79881747,Coronary Heart Disease,Binge Drinking
Birmingham,City,CHD,CHOLSCREEN,7.5,0.925981649,74.8,5,National,33.52756638,-86.79881747,Coronary Heart Disease,Cholesterol Screening
Birmingham,City,COPD,CSMOKING,8.8,0.957688064,22.3,1,National,33.52756638,-86.79881747,COPD,Current Smoking
Birmingham,City,COPD,SLEEP,8.8,0.957688064,41.5,2,National,33.52756638,-86.79881747,COPD,Sleep <7 hours
Birmingham,City,COPD,BPMED,8.8,0.957688064,81.3,3,National,33.52756638,-86.79881747,COPD,Taking BP Medication
Birmingham,City,COPD,BINGE,8.8,0.957688064,13.2,4,National,33.52756638,-86.79881747,COPD,Binge Drinking
Birmingham,City,COPD,LPA,8.8,0.957688064,35.6,5,National,33.52756638,-86.79881747,COPD,Physical Inactivity
Birmingham,City,DIABETES,CHOLSCREEN,16.7,0.966452298,74.8,1,National,33.52756638,-86.79881747,Diabetes,Cholesterol Screening
Birmingham,City,DIABETES,DENTAL,16.7,0.966452298,52.6,2,National,33.52756638,-86.79881747,Diabetes,Dental Visit
Birmingham,City,DIABETES,LPA,16.7,0.966452298,35.6,3,National,33.52756638,-86.79881747,Diabetes,Physical Inactivity
Birmingham,City,DIABETES,CSMOKING,16.7,0.966452298,22.3,4,National,33.52756638,-86.79881747,Diabetes,Current Smoking
Birmingham,City,DIABETES,BPMED,16.7,0.966452298,81.3,5,National,33.52756638,-86.79881747,Diabetes,Taking BP Medication
Birmingham,City,HIGHCHOL,BPMED,39.2,0.978006931,81.3,1,National,33.52756638,-86.79881747,High Cholesterol,Taking BP Medication
Birmingham,City,HIGHCHOL,BINGE,39.2,0.978006931,13.2,2,National,33.52756638,-86.79881747,High Cholesterol,Binge Drinking
Birmingham,City,HIGHCHOL,CHOLSCREEN,39.2,0.978006931,74.8,3,National,33.52756638,-86.79881747,High Cholesterol,Cholesterol Screening
Birmingham,City,HIGHCHOL,CSMOKING,39.2,0.978006931,22.3,4,National,33.52756638,-86.79881747,High Cholesterol,Current Smoking
Birmingham,City,HIGHCHOL,SLEEP,39.2,0.978006931,41.5,5,National,33.52756638,-86.79881747,High Cholesterol,Sleep <7 hours
Birmingham,City,KIDNEY,LPA,3.8,0.967984527,35.6,1,National,33.52756638,-86.79881747,Chronic Kidney Disease,Physical Inactivity
Birmingham,City,KIDNEY,CSMOKING,3.8,0.967984527,22.3,2,National,33.52756638,-86.79881747,Chronic Kidney Disease,Current Smoking
Birmingham,City,KIDNEY,SLEEP,3.8,0.967984527,41.5,3,National,33.52756638,-86.79881747,Chronic Kidney Disease,Sleep <7 hours
Birmingham,City,KIDNEY,CHOLSCREEN,3.8,0.967984527,74.8,4,National,33.52756638,-86.79881747,Chronic Kidney Disease,Cholesterol Screening
Birmingham,City,KIDNEY,BINGE,3.8,0.967984527,13.2,5,National,33.52756638,-86.79881747,Chronic Kidney Disease,Binge Drinking
Birmingham,City,MHLTH,CSMOKING,15.2,0.974351843,22.3,1,National,33.52756638,-86.79881747,Mental Health,Current Smoking
Birmingham,City,MHLTH,BPMED,15.2,0.974351843,81.3,2,National,33.52756638,-86.79881747,Mental Health,Taking BP Medication
Birmingham,City,MHLTH,CHOLSCREEN,15.2,0.974351843,74.8,3,National,33.52756638,-86.79881747,Mental Health,Cholesterol Screening
Birmingham,City,MHLTH,DENTAL,15.2,0.974351843,52.6,4,National,33.52756638,-86.79881747,Mental Health,Dental Visit
Birmingham,City,MHLTH,ACCESS2,15.2,0.974351843,19.2,5,National,33.52756638,-86.79881747,Mental Health,Health Insurance
Birmingham,City,PHLTH,LPA,16.3,0.977795063,35.6,1,National,33.52756638,-86.79881747,Physical Health,Physical Inactivity
Birmingham,City,PHLTH,BPMED,16.3,0.977795063,81.3,2,National,33.52756638,-86.79881747,Physical Health,Taking BP Medication
Birmingham,City,PHLTH,COLON_SCREEN,16.3,0.977795063,64.1,3,National,33.52756638,-86.79881747,Physical Health,Colorectal Cancer Screening
Birmingham,City,PHLTH,CSMOKING,16.3,0.977795063,22.3,4,National,33.52756638,-86.79881747,Physical Health,Current Smoking
Birmingham,City,PHLTH,OBESITY,16.3,0.977795063,41.7,5,National,33.52756638,-86.79881747,Physical Health,Obesity
Birmingham,City,STROKE,LPA,5,0.948855653,35.6,1,National,33.52756638,-86.79881747,Stroke,Physical Inactivity
Birmingham,City,STROKE,CSMOKING,5,0.948855653,22.3,2,National,33.52756638,-86.79881747,Stroke,Current Smoking
Birmingham,City,STROKE,BINGE,5,0.948855653,13.2,3,National,33.52756638,-86.79881747,Stroke,Binge Drinking
Birmingham,City,STROKE,CHOLSCREEN,5,0.948855653,74.8,4,National,33.52756638,-86.79881747,Stroke,Cholesterol Screening
Birmingham,City,STROKE,SLEEP,5,0.948855653,41.5,5,National,33.52756638,-86.79881747,Stroke,Sleep <7 hours
Birmingham,City,TEETHLOST,LPA,22.8,0.942122411,35.6,1,National,33.52756638,-86.79881747,Teeth Loss,Physical Inactivity
Birmingham,City,TEETHLOST,CSMOKING,22.8,0.942122411,22.3,2,National,33.52756638,-86.79881747,Teeth Loss,Current Smoking
Birmingham,City,TEETHLOST,CHOLSCREEN,22.8,0.942122411,74.8,3,National,33.52756638,-86.79881747,Teeth Loss,Cholesterol Screening
Birmingham,City,TEETHLOST,MAMMOUSE,22.8,0.942122411,83.6,4,National,33.52756638,-86.79881747,Teeth Loss,Mammography
Birmingham,City,TEETHLOST,BINGE,22.8,0.942122411,13.2,5,National,33.52756638,-86.79881747,Teeth Loss,Binge Drinking
Birmingham,City,ARTHRITIS,BPMED,29.3,0.944676149,81.3,1,State,33.52756638,-86.79881747,Arthritis,Taking BP Medication
Birmingham,City,ARTHRITIS,BINGE,29.3,0.944676149,13.2,2,State,33.52756638,-86.79881747,Arthritis,Binge Drinking
Birmingham,City,ARTHRITIS,CHOLSCREEN,29.3,0.944676149,74.8,3,State,33.52756638,-86.79881747,Arthritis,Cholesterol Screening
Birmingham,City,ARTHRITIS,CSMOKING,29.3,0.944676149,22.3,4,State,33.52756638,-86.79881747,Arthritis,Current Smoking
Birmingham,City,ARTHRITIS,SLEEP,29.3,0.944676149,41.5,5,State,33.52756638,-86.79881747,Arthritis,Sleep <7 hours
Birmingham,City,BPHIGH,CHECKUP,43.8,0.980782138,76.9,1,State,33.52756638,-86.79881747,High Blood Pressure,Annual Checkup
Birmingham,City,BPHIGH,BINGE,43.8,0.980782138,13.2,2,State,33.52756638,-86.79881747,High Blood Pressure,Binge Drinking
Birmingham,City,BPHIGH,BPMED,43.8,0.980782138,81.3,3,State,33.52756638,-86.79881747,High Blood Pressure,Taking BP Medication
Birmingham,City,BPHIGH,OBESITY,43.8,0.980782138,41.7,4,State,33.52756638,-86.79881747,High Blood Pressure,Obesity
Birmingham,City,BPHIGH,CHOLSCREEN,43.8,0.980782138,74.8,5,State,33.52756638,-86.79881747,High Blood Pressure,Cholesterol Screening
Birmingham,City,CANCER,BPMED,5.6,0.946091937,81.3,1,State,33.52756638,-86.79881747,Cancer (except skin),Taking BP Medication
Birmingham,City,CANCER,SLEEP,5.6,0.946091937,41.5,2,State,33.52756638,-86.79881747,Cancer (except skin),Sleep <7 hours
Birmingham,City,CANCER,BINGE,5.6,0.946091937,13.2,3,State,33.52756638,-86.79881747,Cancer (except skin),Binge Drinking
Birmingham,City,CANCER,DENTAL,5.6,0.946091937,52.6,4,State,33.52756638,-86.79881747,Cancer (except skin),Dental Visit
Birmingham,City,CANCER,LPA,5.6,0.946091937,35.6,5,State,33.52756638,-86.79881747,Cancer (except skin),Physical Inactivity
Birmingham,City,CASTHMA,CSMOKING,10.5,0.984219537,22.3,1,State,33.52756638,-86.79881747,Current Asthma,Current Smoking
Birmingham,City,CASTHMA,CHECKUP,10.5,0.984219537,76.9,2,State,33.52756638,-86.79881747,Current Asthma,Annual Checkup
Birmingham,City,CASTHMA,CHOLSCREEN,10.5,0.984219537,74.8,3,State,33.52756638,-86.79881747,Current Asthma,Cholesterol Screening
Birmingham,City,CASTHMA,SLEEP,10.5,0.984219537,41.5,4,State,33.52756638,-86.79881747,Current Asthma,Sleep <7 hours
Birmingham,City,CASTHMA,DENTAL,10.5,0.984219537,52.6,5,State,33.52756638,-86.79881747,Current Asthma,Dental Visit
Birmingham,City,CHD,LPA,7.5,0.925981649,35.6,1,State,33.52756638,-86.79881747,Coronary Heart Disease,Physical Inactivity
Birmingham,City,CHD,SLEEP,7.5,0.925981649,41.5,2,State,33.52756638,-86.79881747,Coronary Heart Disease,Sleep <7 hours
Birmingham,City,CHD,BPMED,7.5,0.925981649,81.3,3,State,33.52756638,-86.79881747,Coronary Heart Disease,Taking BP Medication
Birmingham,City,CHD,BINGE,7.5,0.925981649,13.2,4,State,33.52756638,-86.79881747,Coronary Heart Disease,Binge Drinking
Birmingham,City,CHD,CHOLSCREEN,7.5,0.925981649,74.8,5,State,33.52756638,-86.79881747,Coronary Heart Disease,Cholesterol Screening
Birmingham,City,COPD,CSMOKING,8.8,0.957688064,22.3,1,State,33.52756638,-86.79881747,COPD,Current Smoking
Birmingham,City,COPD,SLEEP,8.8,0.957688064,41.5,2,State,33.52756638,-86.79881747,COPD,Sleep <7 hours
Birmingham,City,COPD,BPMED,8.8,0.957688064,81.3,3,State,33.52756638,-86.79881747,COPD,Taking BP Medication
Birmingham,City,COPD,BINGE,8.8,0.957688064,13.2,4,State,33.52756638,-86.79881747,COPD,Binge Drinking
Birmingham,City,COPD,LPA,8.8,0.957688064,35.6,5,State,33.52756638,-86.79881747,COPD,Physical Inactivity
Birmingham,City,DIABETES,CHOLSCREEN,16.7,0.966452298,74.8,1,State,33.52756638,-86.79881747,Diabetes,Cholesterol Screening
Birmingham,City,DIABETES,DENTAL,16.7,0.966452298,52.6,2,State,33.52756638,-86.79881747,Diabetes,Dental Visit
Birmingham,City,DIABETES,LPA,16.7,0.966452298,35.6,3,State,33.52756638,-86.79881747,Diabetes,Physical Inactivity
Birmingham,City,DIABETES,CSMOKING,16.7,0.966452298,22.3,4,State,33.52756638,-86.79881747,Diabetes,Current Smoking
Birmingham,City,DIABETES,BPMED,16.7,0.966452298,81.3,5,State,33.52756638,-86.79881747,Diabetes,Taking BP Medication
Birmingham,City,HIGHCHOL,BPMED,39.2,0.978006931,81.3,1,State,33.52756638,-86.79881747,High Cholesterol,Taking BP Medication
Birmingham,City,HIGHCHOL,BINGE,39.2,0.978006931,13.2,2,State,33.52756638,-86.79881747,High Cholesterol,Binge Drinking
Birmingham,City,HIGHCHOL,CHOLSCREEN,39.2,0.978006931,74.8,3,State,33.52756638,-86.79881747,High Cholesterol,Cholesterol Screening
Birmingham,City,HIGHCHOL,CSMOKING,39.2,0.978006931,22.3,4,State,33.52756638,-86.79881747,High Cholesterol,Current Smoking
Birmingham,City,HIGHCHOL,SLEEP,39.2,0.978006931,41.5,5,State,33.52756638,-86.79881747,High Cholesterol,Sleep <7 hours
Birmingham,City,KIDNEY,LPA,3.8,0.967984527,35.6,1,State,33.52756638,-86.79881747,Chronic Kidney Disease,Physical Inactivity
Birmingham,City,KIDNEY,CSMOKING,3.8,0.967984527,22.3,2,State,33.52756638,-86.79881747,Chronic Kidney Disease,Current Smoking
Birmingham,City,KIDNEY,SLEEP,3.8,0.967984527,41.5,3,State,33.52756638,-86.79881747,Chronic Kidney Disease,Sleep <7 hours
Birmingham,City,KIDNEY,CHOLSCREEN,3.8,0.967984527,74.8,4,State,33.52756638,-86.79881747,Chronic Kidney Disease,Cholesterol Screening
Birmingham,City,KIDNEY,BINGE,3.8,0.967984527,13.2,5,State,33.52756638,-86.79881747,Chronic Kidney Disease,Binge Drinking
Birmingham,City,MHLTH,CSMOKING,15.2,0.974351843,22.3,1,State,33.52756638,-86.79881747,Mental Health,Current Smoking
Birmingham,City,MHLTH,BPMED,15.2,0.974351843,81.3,2,State,33.52756638,-86.79881747,Mental Health,Taking BP Medication
Birmingham,City,MHLTH,CHOLSCREEN,15.2,0.974351843,74.8,3,State,33.52756638,-86.79881747,Mental Health,Cholesterol Screening
Birmingham,City,MHLTH,DENTAL,15.2,0.974351843,52.6,4,State,33.52756638,-86.79881747,Mental Health,Dental Visit
Birmingham,City,MHLTH,ACCESS2,15.2,0.974351843,19.2,5,State,33.52756638,-86.79881747,Mental Health,Health Insurance
Birmingham,City,PHLTH,LPA,16.3,0.977795063,35.6,1,State,33.52756638,-86.79881747,Physical Health,Physical Inactivity
Birmingham,City,PHLTH,BPMED,16.3,0.977795063,81.3,2,State,33.52756638,-86.79881747,Physical Health,Taking BP Medication
Birmingham,City,PHLTH,COLON_SCREEN,16.3,0.977795063,64.1,3,State,33.52756638,-86.79881747,Physical Health,Colorectal Cancer Screening
Birmingham,City,PHLTH,CSMOKING,16.3,0.977795063,22.3,4,State,33.52756638,-86.79881747,Physical Health,Current Smoking
Birmingham,City,PHLTH,OBESITY,16.3,0.977795063,41.7,5,State,33.52756638,-86.79881747,Physical Health,Obesity
Birmingham,City,STROKE,LPA,5,0.948855653,35.6,1,State,33.52756638,-86.79881747,Stroke,Physical Inactivity
Birmingham,City,STROKE,CSMOKING,5,0.948855653,22.3,2,State,33.52756638,-86.79881747,Stroke,Current Smoking
Birmingham,City,STROKE,BINGE,5,0.948855653,13.2,3,State,33.52756638,-86.79881747,Stroke,Binge Drinking
Birmingham,City,STROKE,CHOLSCREEN,5,0.948855653,74.8,4,State,33.52756638,-86.79881747,Stroke,Cholesterol Screening
Birmingham,City,STROKE,SLEEP,5,0.948855653,41.5,5,State,33.52756638,-86.79881747,Stroke,Sleep <7 hours
Birmingham,City,TEETHLOST,LPA,22.8,0.942122411,35.6,1,State,33.52756638,-86.79881747,Teeth Loss,Physical Inactivity
Birmingham,City,TEETHLOST,CSMOKING,22.8,0.942122411,22.3,2,State,33.52756638,-86.79881747,Teeth Loss,Current Smoking
Birmingham,City,TEETHLOST,CHOLSCREEN,22.8,0.942122411,74.8,3,State,33.52756638,-86.79881747,Teeth Loss,Cholesterol Screening
Birmingham,City,TEETHLOST,MAMMOUSE,22.8,0.942122411,83.6,4,State,33.52756638,-86.79881747,Teeth Loss,Mammography
Birmingham,City,TEETHLOST,BINGE,22.8,0.942122411,13.2,5,State,33.52756638,-86.79881747,Teeth Loss,Binge Drinking
Hoover,City,ARTHRITIS,BPMED,24,0.944676149,77.7,1,National,33.37676027,-86.80519376,Arthritis,Taking BP Medication
Hoover,City,ARTHRITIS,BINGE,24,0.944676149,17.8,2,National,33.37676027,-86.80519376,Arthritis,Binge Drinking
Hoover,City,ARTHRITIS,CHOLSCREEN,24,0.944676149,82.1,3,National,33.37676027,-86.80519376,Arthritis,Cholesterol Screening
Hoover,City,ARTHRITIS,CSMOKING,24,0.944676149,14.1,4,National,33.37676027,-86.80519376,Arthritis,Current Smoking
Hoover,City,ARTHRITIS,SLEEP,24,0.944676149,32.9,5,National,33.37676027,-86.80519376,Arthritis,Sleep <7 hours
Hoover,City,BPHIGH,CHECKUP,30.7,0.980782138,73,1,National,33.37676027,-86.80519376,High Blood Pressure,Annual Checkup
Hoover,City,BPHIGH,BINGE,30.7,0.980782138,17.8,2,National,33.37676027,-86.80519376,High Blood Pressure,Binge Drinking
Hoover,City,BPHIGH,BPMED,30.7,0.980782138,77.7,3,National,33.37676027,-86.80519376,High Blood Pressure,Taking BP Medication
Hoover,City,BPHIGH,OBESITY,30.7,0.980782138,29.2,4,National,33.37676027,-86.80519376,High Blood Pressure,Obesity
Hoover,City,BPHIGH,CHOLSCREEN,30.7,0.980782138,82.1,5,National,33.37676027,-86.80519376,High Blood Pressure,Cholesterol Screening
Hoover,City,CANCER,BPMED,6.6,0.946091937,77.7,1,National,33.37676027,-86.80519376,Cancer (except skin),Taking BP Medication
Hoover,City,CANCER,SLEEP,6.6,0.946091937,32.9,2,National,33.37676027,-86.80519376,Cancer (except skin),Sleep <7 hours
Hoover,City,CANCER,BINGE,6.6,0.946091937,17.8,3,National,33.37676027,-86.80519376,Cancer (except skin),Binge Drinking
Hoover,City,CANCER,DENTAL,6.6,0.946091937,74.5,4,National,33.37676027,-86.80519376,Cancer (except skin),Dental Visit
Hoover,City,CANCER,LPA,6.6,0.946091937,20.4,5,National,33.37676027,-86.80519376,Cancer (except skin),Physical Inactivity
Hoover,City,CASTHMA,CSMOKING,7.9,0.984219537,14.1,1,National,33.37676027,-86.80519376,Current Asthma,Current Smoking
Hoover,City,CASTHMA,CHECKUP,7.9,0.984219537,73,2,National,33.37676027,-86.80519376,Current Asthma,Annual Checkup
Hoover,City,CASTHMA,CHOLSCREEN,7.9,0.984219537,82.1,3,National,33.37676027,-86.80519376,Current Asthma,Cholesterol Screening
Hoover,City,CASTHMA,SLEEP,7.9,0.984219537,32.9,4,National,33.37676027,-86.80519376,Current Asthma,Sleep <7 hours
Hoover,City,CASTHMA,DENTAL,7.9,0.984219537,74.5,5,National,33.37676027,-86.80519376,Current Asthma,Dental Visit
Hoover,City,CHD,LPA,5.2,0.925981649,20.4,1,National,33.37676027,-86.80519376,Coronary Heart Disease,Physical Inactivity
Hoover,City,CHD,SLEEP,5.2,0.925981649,32.9,2,National,33.37676027,-86.80519376,Coronary Heart Disease,Sleep <7 hours
Hoover,City,CHD,BPMED,5.2,0.925981649,77.7,3,National,33.37676027,-86.80519376,Coronary Heart Disease,Taking BP Medication
Hoover,City,CHD,BINGE,5.2,0.925981649,17.8,4,National,33.37676027,-86.80519376,Coronary Heart Disease,Binge Drinking
