Region,Level,Outcome,Prevention,Outcome Prevalence,Prevention Prevalence,Prevention Rank,Prevention Score,Prediction Accuracy
Alabama,State,PHLTH,OBESITY,16.3,41.7,5,0,0.977897451
Alabama,State,MHLTH,CSMOKING,15.2,22.3,1,0,0.973986577
Alabama,State,MHLTH,BPMED,15.2,81.3,2,0,0.973986577
Alabama,State,MHLTH,CHOLSCREEN,15.2,74.8,3,0,0.973986577
Alabama,State,MHLTH,DENTAL,15.2,52.6,4,0,0.973986577
Alabama,State,MHLTH,ACCESS2,15.2,19.2,5,0,0.973986577
Alabama,State,KIDNEY,LPA,3.8,35.6,1,0,0.968618077
Alabama,State,KIDNEY,CSMOKING,3.8,22.3,2,0,0.968618077
Alabama,State,KIDNEY,SLEEP,3.8,41.5,3,0,0.968618077
Alabama,State,KIDNEY,CHOLSCREEN,3.8,74.8,4,0,0.968618077
Alabama,State,KIDNEY,BINGE,3.8,13.2,5,0,0.968618077
Alabama,State,HIGHCHOL,BPMED,39.2,81.3,1,0,0.978108043
Alabama,State,HIGHCHOL,BINGE,39.2,13.2,2,0,0.978108043
Alabama,State,HIGHCHOL,CHOLSCREEN,39.2,74.8,3,0,0.978108043
Alabama,State,HIGHCHOL,CSMOKING,39.2,22.3,4,0,0.978108043
Alabama,State,HIGHCHOL,SLEEP,39.2,41.5,5,0,0.978108043
Alabama,State,DIABETES,CHOLSCREEN,16.7,74.8,1,0,0.967628684
Alabama,State,DIABETES,DENTAL,16.7,52.6,2,0,0.967628684
Alabama,State,DIABETES,LPA,16.7,35.6,3,0,0.967628684
Alabama,State,DIABETES,CSMOKING,16.7,22.3,4,0,0.967628684
Alabama,State,DIABETES,BPMED,16.7,81.3,5,0,0.967628684
Alabama,State,COPD,CSMOKING,8.8,22.3,1,0,0.95789516
Alabama,State,COPD,SLEEP,8.8,41.5,2,0,0.95789516
Alabama,State,COPD,BPMED,8.8,81.3,3,0,0.95789516
Alabama,State,COPD,BINGE,8.8,13.2,4,0,0.95789516
Alabama,State,COPD,LPA,8.8,35.6,5,0,0.95789516
Alabama,State,CHD,LPA,7.5,35.6,1,0,0.927109246
Alabama,State,CHD,SLEEP,7.5,41.5,2,0,0.927109246
Alabama,State,CHD,BPMED,7.5,81.3,3,0,0.927109246
Alabama,State,CHD,BINGE,7.5,13.2,4,0,0.927109246
Alabama,State,CHD,CHOLSCREEN,7.5,74.8,5,0,0.927109246
Alabama,State,CASTHMA,CSMOKING,10.5,22.3,1,0,0.984325111
Alabama,State,CASTHMA,CHECKUP,10.5,76.9,2,0,0.984325111
Alabama,State,CASTHMA,CHOLSCREEN,10.5,74.8,3,0,0.984325111
Alabama,State,CASTHMA,SLEEP,10.5,41.5,4,0,0.984325111
Alabama,State,CASTHMA,DENTAL,10.5,52.6,5,0,0.984325111
Alabama,State,CANCER,BPMED,5.6,81.3,1,0,0.946128663
Alabama,State,CANCER,SLEEP,5.6,41.5,2,0,0.946128663
Alabama,State,CANCER,BINGE,5.6,13.2,3,0,0.946128663
Alabama,State,CANCER,DENTAL,5.6,52.6,4,0,0.946128663
Alabama,State,CANCER,LPA,5.6,35.6,5,0,0.946128663
Alabama,State,BPHIGH,CHECKUP,43.8,76.9,1,0,0.980961293
Alabama,State,BPHIGH,BINGE,43.8,13.2,2,0,0.980961293
Alabama,State,BPHIGH,LPA,43.8,35.6,3,0,0.980961293
Alabama,State,BPHIGH,CHOLSCREEN,43.8,74.8,4,0,0.980961293
Alabama,State,BPHIGH,BPMED,43.8,81.3,5,0,0.980961293
Alabama,State,ARTHRITIS,BPMED,29.3,81.3,1,0,0.94488879
Alabama,State,ARTHRITIS,BINGE,29.3,13.2,2,0,0.94488879
Alabama,State,ARTHRITIS,CHOLSCREEN,29.3,74.8,3,0,0.94488879
Alabama,State,ARTHRITIS,CSMOKING,29.3,22.3,4,0,0.94488879
Alabama,State,ARTHRITIS,SLEEP,29.3,41.5,5,0,0.94488879
Alaska,State,ARTHRITIS,BPMED,19.8,63.7,1,0,0.886738565
Alaska,State,ARTHRITIS,BINGE,19.8,19.4,2,0,0.886738565
Alaska,State,ARTHRITIS,CSMOKING,19.8,18,3,0,0.886738565
Alaska,State,ARTHRITIS,SLEEP,19.8,31.3,4,0,0.886738565
Alaska,State,ARTHRITIS,ACCESS2,19.8,12.5,5,0,0.886738565
Alaska,State,BPHIGH,BPMED,26.8,63.7,1,0,0.935843565
Alaska,State,BPHIGH,OBESITY,26.8,27.6,2,0,0.935843565
Alaska,State,BPHIGH,BINGE,26.8,19.4,3,0,0.935843565
Alaska,State,BPHIGH,CHECKUP,26.8,56.9,4,0,0.935843565
Alaska,State,BPHIGH,DENTAL,26.8,65.2,5,0,0.935843565
Alaska,State,CANCER,CHOLSCREEN,5.1,68.8,1,0,0.831713566
Alaska,State,CANCER,BPMED,5.1,63.7,2,0,0.831713566
Alaska,State,CANCER,MAMMOUSE,5.1,71.3,3,0,0.831713566
Alaska,State,CANCER,SLEEP,5.1,31.3,4,0,0.831713566
Alaska,State,CANCER,COLON_SCREEN,5.1,62.2,5,0,0.831713566
Alaska,State,CASTHMA,SLEEP,9.3,31.3,1,0,0.868594269
Alaska,State,CASTHMA,CSMOKING,9.3,18,2,0,0.868594269
Alaska,State,CASTHMA,COLON_SCREEN,9.3,62.2,3,0,0.868594269
Alaska,State,CASTHMA,COREW,9.3,33.3,4,0,0.868594269
Alaska,State,CASTHMA,OBESITY,9.3,27.6,5,0,0.868594269
Alaska,State,CHD,BPMED,4.5,63.7,1,0,0.840727351
Alaska,State,CHD,DENTAL,4.5,65.2,2,0,0.840727351
Alaska,State,CHD,SLEEP,4.5,31.3,3,0,0.840727351
Alaska,State,CHD,LPA,4.5,17.5,4,0,0.840727351
Alaska,State,CHD,ACCESS2,4.5,12.5,5,0,0.840727351
Alaska,State,COPD,CHOLSCREEN,5,68.8,1,0,0.901400731
Alaska,State,COPD,DENTAL,5,65.2,2,0,0.901400731
Alaska,State,COPD,CSMOKING,5,18,3,0,0.901400731
Alaska,State,COPD,LPA,5,17.5,4,0,0.901400731
Alaska,State,COPD,ACCESS2,5,12.5,5,0,0.901400731
Alaska,State,DIABETES,BPMED,7.6,63.7,1,0,0.934231335
Alaska,State,DIABETES,DENTAL,7.6,65.2,2,0,0.934231335
Alaska,State,DIABETES,CHOLSCREEN,7.6,68.8,3,0,0.934231335
Alaska,State,DIABETES,LPA,7.6,17.5,4,0,0.934231335
Alaska,State,DIABETES,CSMOKING,7.6,18,5,0,0.934231335
Alaska,State,HIGHCHOL,BPMED,34.8,63.7,1,0,0.930340498
Alaska,State,HIGHCHOL,CHECKUP,34.8,56.9,2,0,0.930340498
Alaska,State,HIGHCHOL,LPA,34.8,17.5,3,0,0.930340498
Alaska,State,HIGHCHOL,CHOLSCREEN,34.8,68.8,4,0,0.930340498
Alaska,State,HIGHCHOL,ACCESS2,34.8,12.5,5,0,0.930340498
Alaska,State,KIDNEY,BPMED,2.2,63.7,1,0,0.885832629
Alaska,State,KIDNEY,DENTAL,2.2,65.2,2,0,0.885832629
Alaska,State,KIDNEY,CHOLSCREEN,2.2,68.8,3,0,0.885832629
Alaska,State,KIDNEY,LPA,2.2,17.5,4,0,0.885832629
Alaska,State,KIDNEY,CHECKUP,2.2,56.9,5,0,0.885832629
Alaska,State,MHLTH,CSMOKING,11.4,18,1,0,0.87986488
Alaska,State,MHLTH,MAMMOUSE,11.4,71.3,2,0,0.87986488
Alaska,State,MHLTH,CHECKUP,11.4,56.9,3,0,0.87986488
Alaska,State,MHLTH,LPA,11.4,17.5,4,0,0.87986488
Alaska,State,MHLTH,CHOLSCREEN,11.4,68.8,5,0,0.87986488
Alaska,State,PHLTH,LPA,10.6,17.5,1,0,0.92794472
Alaska,State,PHLTH,CHOLSCREEN,10.6,68.8,2,0,0.92794472
Alaska,State,PHLTH,DENTAL,10.6,65.2,3,0,0.92794472
Alaska,State,PHLTH,CSMOKING,10.6,18,4,0,0.92794472
Alaska,State,PHLTH,CHECKUP,10.6,56.9,5,0,0.92794472
Alaska,State,STROKE,BPMED,2.3,63.7,1,0,0.867507992
Alaska,State,STROKE,DENTAL,2.3,65.2,2,0,0.867507992
Alaska,State,STROKE,CHOLSCREEN,2.3,68.8,3,0,0.867507992
Alaska,State,STROKE,OBESITY,2.3,27.6,4,0,0.867507992
Alaska,State,STROKE,ACCESS2,2.3,12.5,5,0,0.867507992
Alaska,State,TEETHLOST,CSMOKING,12.9,18,1,0,0.907248555
Alaska,State,TEETHLOST,DENTAL,12.9,65.2,2,0,0.907248555
Alaska,State,TEETHLOST,LPA,12.9,17.5,3,0,0.907248555
Alaska,State,TEETHLOST,MAMMOUSE,12.9,71.3,4,0,0.907248555
Alaska,State,TEETHLOST,SLEEP,12.9,31.3,5,0,0.907248555
Arizona,State,TEETHLOST,LPA,14.7,24.7,1,0,0.949461899
Arizona,State,TEETHLOST,DENTAL,14.7,59.9,2,0,0.949461899
Arizona,State,TEETHLOST,MAMMOUSE,14.7,79.8,3,0,0.949461899
Arizona,State,TEETHLOST,COREM,14.7,30.4,4,0,0.949461899
Arizona,State,TEETHLOST,COLON_SCREEN,14.7,58,5,0,0.949461899
Arizona,State,STROKE,LPA,2.4,24.7,1,0,0.984050044
Arizona,State,STROKE,ACCESS2,2.4,19.3,2,0,0.984050044
Arizona,State,STROKE,SLEEP,2.4,38.1,3,0,0.984050044
Arizona,State,STROKE,CHECKUP,2.4,63.2,4,0,0.984050044
Arizona,State,STROKE,DENTAL,2.4,59.9,5,0,0.984050044
Arizona,State,PHLTH,LPA,12.4,24.7,1,0,0.996190793
Arizona,State,PHLTH,ACCESS2,12.4,19.3,2,0,0.996190793
Arizona,State,PHLTH,CHECKUP,12.4,63.2,3,0,0.996190793
Arizona,State,PHLTH,DENTAL,12.4,59.9,4,0,0.996190793
Arizona,State,PHLTH,OBESITY,12.4,29.9,5,0,0.996190793
Arizona,State,MHLTH,CSMOKING,13.6,18,1,0,0.990406295
Arizona,State,MHLTH,CHOLSCREEN,13.6,68.7,2,0,0.990406295
Arizona,State,MHLTH,DENTAL,13.6,59.9,3,0,0.990406295
Arizona,State,MHLTH,LPA,13.6,24.7,4,0,0.990406295
Arizona,State,MHLTH,OBESITY,13.6,29.9,5,0,0.990406295
Arizona,State,KIDNEY,LPA,2.7,24.7,1,0,0.990932023
Arizona,State,KIDNEY,ACCESS2,2.7,19.3,2,0,0.990932023
Arizona,State,KIDNEY,SLEEP,2.7,38.1,3,0,0.990932023
Arizona,State,KIDNEY,CHECKUP,2.7,63.2,4,0,0.990932023
Arizona,State,KIDNEY,DENTAL,2.7,59.9,5,0,0.990932023
Arizona,State,HIGHCHOL,BPMED,32.7,65.9,1,0,0.986203853
Arizona,State,HIGHCHOL,BINGE,32.7,17.7,2,0,0.986203853
Arizona,State,HIGHCHOL,LPA,32.7,24.7,3,0,0.986203853
Arizona,State,HIGHCHOL,CHOLSCREEN,32.7,68.7,4,0,0.986203853
Arizona,State,HIGHCHOL,CHECKUP,32.7,63.2,5,0,0.986203853
Arizona,State,DIABETES,BPMED,8.9,65.9,1,0,0.985642242
Arizona,State,DIABETES,DENTAL,8.9,59.9,2,0,0.985642242
Arizona,State,DIABETES,CHOLSCREEN,8.9,68.7,3,0,0.985642242
Arizona,State,DIABETES,CHECKUP,8.9,63.2,4,0,0.985642242
Arizona,State,DIABETES,CSMOKING,8.9,18,5,0,0.985642242
Arizona,State,COPD,LPA,5.1,24.7,1,0,0.983016608
Arizona,State,COPD,ACCESS2,5.1,19.3,2,0,0.983016608
Arizona,State,COPD,SLEEP,5.1,38.1,3,0,0.983016608
Arizona,State,COPD,CSMOKING,5.1,18,4,0,0.983016608
Arizona,State,COPD,CHOLSCREEN,5.1,68.7,5,0,0.983016608
Arizona,State,CHD,LPA,4.4,24.7,1,0,0.986361977
Arizona,State,CHD,ACCESS2,4.4,19.3,2,0,0.986361977
Arizona,State,CHD,SLEEP,4.4,38.1,3,0,0.986361977
Arizona,State,CHD,CHECKUP,4.4,63.2,4,0,0.986361977
Arizona,State,CHD,DENTAL,4.4,59.9,5,0,0.986361977
Arizona,State,CASTHMA,CSMOKING,10,18,1,0,0.984483265
Arizona,State,CASTHMA,CHECKUP,10,63.2,2,0,0.984483265
Arizona,State,CASTHMA,CHOLSCREEN,10,68.7,3,0,0.984483265
Arizona,State,CASTHMA,DENTAL,10,59.9,4,0,0.984483265
Arizona,State,CASTHMA,LPA,10,24.7,5,0,0.984483265
Arizona,State,CANCER,CHECKUP,4.1,63.2,1,0,0.979246119
Arizona,State,CANCER,DENTAL,4.1,59.9,2,0,0.979246119
Arizona,State,CANCER,OBESITY,4.1,29.9,3,0,0.979246119
Arizona,State,CANCER,CHOLSCREEN,4.1,68.7,4,0,0.979246119
Arizona,State,CANCER,SLEEP,4.1,38.1,5,0,0.979246119
Arizona,State,BPHIGH,CHOLSCREEN,24.8,68.7,1,0,0.973769578
Arizona,State,BPHIGH,DENTAL,24.8,59.9,2,0,0.973769578
Arizona,State,BPHIGH,CHECKUP,24.8,63.2,3,0,0.973769578
Arizona,State,BPHIGH,LPA,24.8,24.7,4,0,0.973769578
Arizona,State,BPHIGH,ACCESS2,24.8,19.3,5,0,0.973769578
Arizona,State,ARTHRITIS,CHOLSCREEN,22.5,68.7,1,0,0.985030763
Arizona,State,ARTHRITIS,DENTAL,22.5,59.9,2,0,0.985030763
Arizona,State,ARTHRITIS,CHECKUP,22.5,63.2,3,0,0.985030763
Arizona,State,ARTHRITIS,OBESITY,22.5,29.9,4,0,0.985030763
Arizona,State,ARTHRITIS,BPMED,22.5,65.9,5,0,0.985030763
Arkansas,State,TEETHLOST,LPA,15.6,24.6,1,0,0.937795754
Arkansas,State,TEETHLOST,DENTAL,15.6,59.5,2,0,0.937795754
Arkansas,State,TEETHLOST,CSMOKING,15.6,20.5,3,0,0.937795754
Arkansas,State,TEETHLOST,SLEEP,15.6,34.2,4,0,0.937795754
Arkansas,State,TEETHLOST,CHOLSCREEN,15.6,64.2,5,0,0.937795754
Arkansas,State,STROKE,LPA,2.1,24.6,1,0,0.968305781
Arkansas,State,STROKE,CSMOKING,2.1,20.5,2,0,0.968305781
Arkansas,State,STROKE,ACCESS2,2.1,10.6,3,0,0.968305781
Arkansas,State,STROKE,DENTAL,2.1,59.5,4,0,0.968305781
Arkansas,State,STROKE,BPMED,2.1,68.8,5,0,0.968305781
Arkansas,State,PHLTH,LPA,10.8,24.6,1,0,0.993535361
Arkansas,State,PHLTH,SLEEP,10.8,34.2,2,0,0.993535361
Arkansas,State,PHLTH,BPMED,10.8,68.8,3,0,0.993535361
Arkansas,State,PHLTH,DENTAL,10.8,59.5,4,0,0.993535361
Arkansas,State,PHLTH,CSMOKING,10.8,20.5,5,0,0.993535361
Arkansas,State,MHLTH,CSMOKING,14.8,20.5,1,0,0.98372406
Arkansas,State,MHLTH,CHECKUP,14.8,64.7,2,0,0.98372406
Arkansas,State,MHLTH,CHOLSCREEN,14.8,64.2,3,0,0.98372406
Arkansas,State,MHLTH,DENTAL,14.8,59.5,4,0,0.98372406
Arkansas,State,MHLTH,ACCESS2,14.8,10.6,5,0,0.98372406
Arkansas,State,KIDNEY,LPA,2.1,24.6,1,0,0.984997184
Arkansas,State,KIDNEY,CSMOKING,2.1,20.5,2,0,0.984997184
Arkansas,State,KIDNEY,ACCESS2,2.1,10.6,3,0,0.984997184
Arkansas,State,KIDNEY,BPMED,2.1,68.8,4,0,0.984997184
Arkansas,State,KIDNEY,DENTAL,2.1,59.5,5,0,0.984997184
Arkansas,State,HIGHCHOL,BPMED,29.9,68.8,1,0,0.990997902
Arkansas,State,HIGHCHOL,LPA,29.9,24.6,2,0,0.990997902
Arkansas,State,HIGHCHOL,SLEEP,29.9,34.2,3,0,0.990997902
Arkansas,State,HIGHCHOL,CHOLSCREEN,29.9,64.2,4,0,0.990997902
Arkansas,State,HIGHCHOL,DENTAL,29.9,59.5,5,0,0.990997902
Arkansas,State,DIABETES,LPA,6.6,24.6,1,0,0.962787523
Arkansas,State,DIABETES,BPMED,6.6,68.8,2,0,0.962787523
Arkansas,State,DIABETES,BINGE,6.6,18.5,3,0,0.962787523
Arkansas,State,DIABETES,DENTAL,6.6,59.5,4,0,0.962787523
Arkansas,State,DIABETES,CHOLSCREEN,6.6,64.2,5,0,0.962787523
Arkansas,State,COPD,LPA,5.6,24.6,1,0,0.990017
Arkansas,State,COPD,SLEEP,5.6,34.2,2,0,0.990017
Arkansas,State,COPD,BPMED,5.6,68.8,3,0,0.990017
Arkansas,State,COPD,CSMOKING,5.6,20.5,4,0,0.990017
Arkansas,State,COPD,ACCESS2,5.6,10.6,5,0,0.990017
Arkansas,State,CHD,LPA,4.6,24.6,1,0,0.982631078
Arkansas,State,CHD,SLEEP,4.6,34.2,2,0,0.982631078
Arkansas,State,CHD,BPMED,4.6,68.8,3,0,0.982631078
Arkansas,State,CHD,ACCESS2,4.6,10.6,4,0,0.982631078
Arkansas,State,CHD,DENTAL,4.6,59.5,5,0,0.982631078
Arkansas,State,CASTHMA,CSMOKING,9.1,20.5,1,0,0.985575386
Arkansas,State,CASTHMA,CHECKUP,9.1,64.7,2,0,0.985575386
Arkansas,State,CASTHMA,CHOLSCREEN,9.1,64.2,3,0,0.985575386
Arkansas,State,CASTHMA,BPMED,9.1,68.8,4,0,0.985575386
Arkansas,State,CASTHMA,COREM,9.1,36.4,5,0,0.985575386
Arkansas,State,CANCER,BPMED,4.6,68.8,1,0,0.976566127
Arkansas,State,CANCER,SLEEP,4.6,34.2,2,0,0.976566127
Arkansas,State,CANCER,LPA,4.6,24.6,3,0,0.976566127
Arkansas,State,CANCER,CSMOKING,4.6,20.5,4,0,0.976566127
Arkansas,State,CANCER,OBESITY,4.6,29.8,5,0,0.976566127
Arkansas,State,BPHIGH,CHECKUP,24.9,64.7,1,0,0.976851168
Arkansas,State,BPHIGH,BINGE,24.9,18.5,2,0,0.976851168
Arkansas,State,BPHIGH,BPMED,24.9,68.8,3,0,0.976851168
Arkansas,State,BPHIGH,SLEEP,24.9,34.2,4,0,0.976851168
Arkansas,State,BPHIGH,OBESITY,24.9,29.8,5,0,0.976851168
Arkansas,State,ARTHRITIS,BPMED,17.4,68.8,1,0,0.989244445
Arkansas,State,ARTHRITIS,BINGE,17.4,18.5,2,0,0.989244445
Arkansas,State,ARTHRITIS,CHOLSCREEN,17.4,64.2,3,0,0.989244445
Arkansas,State,ARTHRITIS,LPA,17.4,24.6,4,0,0.989244445
Arkansas,State,ARTHRITIS,ACCESS2,17.4,10.6,5,0,0.989244445
California,State,TEETHLOST,LPA,7.5,16.2,1,0,0.930887695
California,State,TEETHLOST,CSMOKING,7.5,11.7,2,0,0.930887695
California,State,TEETHLOST,DENTAL,7.5,71.8,3,0,0.930887695
California,State,TEETHLOST,MAMMOUSE,7.5,79.2,4,0,0.930887695
California,State,TEETHLOST,SLEEP,7.5,33.7,5,0,0.930887695
California,State,STROKE,BPMED,2.3,72.6,1,0,0.917600196
California,State,STROKE,DENTAL,2.3,71.8,2,0,0.917600196
California,State,STROKE,CHECKUP,2.3,67.8,3,0,0.917600196
California,State,STROKE,SLEEP,2.3,33.7,4,0,0.917600196
California,State,STROKE,OBESITY,2.3,18.5,5,0,0.917600196
California,State,PHLTH,LPA,9.3,16.2,1,0,0.982721849
California,State,PHLTH,CHOLSCREEN,9.3,80,2,0,0.982721849
California,State,PHLTH,DENTAL,9.3,71.8,3,0,0.982721849
California,State,PHLTH,CSMOKING,9.3,11.7,4,0,0.982721849
California,State,PHLTH,CHECKUP,9.3,67.8,5,0,0.982721849
California,State,MHLTH,CSMOKING,9.7,11.7,1,0,0.968540441
California,State,MHLTH,PAPTEST,9.7,81.9,2,0,0.968540441
California,State,MHLTH,DENTAL,9.7,71.8,3,0,0.968540441
California,State,MHLTH,ACCESS2,9.7,7.3,4,0,0.968540441
California,State,MHLTH,CHOLSCREEN,9.7,80,5,0,0.968540441
California,State,KIDNEY,BPMED,2.4,72.6,1,0,0.956822247
California,State,KIDNEY,DENTAL,2.4,71.8,2,0,0.956822247
California,State,KIDNEY,OBESITY,2.4,18.5,3,0,0.956822247
California,State,KIDNEY,CHECKUP,2.4,67.8,4,0,0.956822247
California,State,KIDNEY,SLEEP,2.4,33.7,5,0,0.956822247
California,State,HIGHCHOL,BPMED,31.4,72.6,1,0,0.952561627
California,State,HIGHCHOL,LPA,31.4,16.2,2,0,0.952561627
California,State,HIGHCHOL,SLEEP,31.4,33.7,3,0,0.952561627
California,State,HIGHCHOL,CHOLSCREEN,31.4,80,4,0,0.952561627
California,State,HIGHCHOL,COLON_SCREEN,31.4,71.9,5,0,0.952561627
California,State,DIABETES,BPMED,8.7,72.6,1,0,0.960691455
California,State,DIABETES,DENTAL,8.7,71.8,2,0,0.960691455
California,State,DIABETES,LPA,8.7,16.2,3,0,0.960691455
California,State,DIABETES,CHOLSCREEN,8.7,80,4,0,0.960691455
California,State,DIABETES,PAPTEST,8.7,81.9,5,0,0.960691455
California,State,COPD,DENTAL,4.3,71.8,1,0,0.920996322
California,State,COPD,CHOLSCREEN,4.3,80,2,0,0.920996322
California,State,COPD,CSMOKING,4.3,11.7,3,0,0.920996322
California,State,COPD,SLEEP,4.3,33.7,4,0,0.920996322
California,State,COPD,BPMED,4.3,72.6,5,0,0.920996322
California,State,CHD,BPMED,4.6,72.6,1,0,0.875518324
California,State,CHD,DENTAL,4.6,71.8,2,0,0.875518324
California,State,CHD,SLEEP,4.6,33.7,3,0,0.875518324
California,State,CHD,LPA,4.6,16.2,4,0,0.875518324
California,State,CHD,ACCESS2,4.6,7.3,5,0,0.875518324
California,State,CASTHMA,CSMOKING,8.3,11.7,1,0,0.956432218
California,State,CASTHMA,COLON_SCREEN,8.3,71.9,2,0,0.956432218
California,State,CASTHMA,OBESITY,8.3,18.5,3,0,0.956432218
California,State,CASTHMA,CHOLSCREEN,8.3,80,4,0,0.956432218
California,State,CASTHMA,CHECKUP,8.3,67.8,5,0,0.956432218
California,State,CANCER,BPMED,6.1,72.6,1,0,0.890001984
California,State,CANCER,SLEEP,6.1,33.7,2,0,0.890001984
